schema_version,formula_id,workload_mode,timing_boundary,requested_device,effective_device,trace_length,batch_size,monitor_id,latency_s_per_trace_median,compile_s_median,persistent_host_rss_delta_bytes_median,pareto_optimal,dominated_by_json
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,32,rulerunner_progression_flat,0.000273729546904633,0.057194065000658156,4825088.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,32,symbolic_guarded,0.00013408536456912165,0.11414765500012436,974848.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,128,deepdfa_dense,0.00015607611327084214,0.11551008800233831,5054464.0,False,"[""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,128,deepdfa_factored,0.000170351898447052,0.11677913200037437,5939200.0,False,"[""deepdfa_dense"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,128,rulerunner_bounded_flat_default,0.002478372656241845,0.12637278100010008,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,128,rulerunner_bounded_flat_exact,0.0025158610937694448,0.15956499399908353,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,128,rulerunner_original_flat,0.00043000350001420884,0.05745706000016071,6438912.0,False,"[""rulerunner_progression_flat""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,128,rulerunner_progression_flat,0.00016688581249013623,0.057194065000658156,4825088.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,128,symbolic_guarded,0.0001332077929703246,0.11414765500012436,974848.0,True,[]
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,1,deepdfa_dense,0.0014255054000386735,0.11346469099953538,5160960.0,False,"[""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,1,deepdfa_factored,0.002445634111103977,0.11704470000040601,5959680.0,False,"[""deepdfa_dense"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,1,rulerunner_bounded_flat_default,0.010591322750769905,0.12837128899991512,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,1,rulerunner_bounded_flat_exact,0.010278241250489373,0.16128751300129807,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,1,rulerunner_original_flat,0.015226768000502489,0.0584845339981257,6438912.0,False,"[""rulerunner_progression_flat""]"
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,1,rulerunner_progression_flat,0.00451762608311886,0.05428185199707514,4882432.0,True,[]
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,1,symbolic_guarded,0.0001469251640552708,0.11084226700040745,921600.0,True,[]
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,64,deepdfa_dense,0.0002212597656239268,0.11346469099953538,5160960.0,False,"[""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,64,deepdfa_factored,0.00024001946877660885,0.11704470000040601,5959680.0,False,"[""deepdfa_dense"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,64,rulerunner_bounded_flat_default,0.0021084222968852373,0.12837128899991512,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,64,rulerunner_bounded_flat_exact,0.0028906743281140734,0.16128751300129807,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,64,rulerunner_original_flat,0.0008817547187618402,0.0584845339981257,6438912.0,False,"[""rulerunner_progression_flat""]"
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,64,rulerunner_progression_flat,0.00018665631640146785,0.05428185199707514,4882432.0,True,[]
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cpu,cpu,64,64,symbolic_guarded,0.00012149268746952657,0.11084226700040745,921600.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cuda,cpu,64,1,symbolic_guarded,5.23730897670859e-05,0.09636317100012093,937984.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cuda,cpu,64,32,symbolic_guarded,5.174939791838066e-05,0.09636317100012093,937984.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cuda,cpu,64,128,symbolic_guarded,5.0818090823412376e-05,0.09636317100012093,937984.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cuda,cpu,64,1,symbolic_guarded,0.00020736463768011217,0.17626928900062921,921600.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cuda,cpu,64,32,symbolic_guarded,0.00021054006249698887,0.17626928900062921,921600.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cuda,cpu,64,128,symbolic_guarded,0.00020526676561871682,0.17626928900062921,921600.0,True,[]
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cuda,cpu,64,1,symbolic_guarded,0.00012734568433444207,0.09668891700130189,1015808.0,True,[]
rq4.v1,ijcnn_balanced_n4,deployment,end_to_end,cuda,cpu,64,64,symbolic_guarded,0.00010619915622100962,0.09668891700130189,1015808.0,True,[]
rq4.v1,nested_next_control,capacity,core_native,cpu,cpu,64,1,deepdfa_dense,0.0012170834999475726,0.06833245499728946,3776512.0,True,[]
rq4.v1,nested_next_control,capacity,core_native,cpu,cpu,64,1,deepdfa_factored,0.002274386500024169,0.06958379700154183,4665344.0,False,"[""deepdfa_dense""]"
rq4.v1,nested_next_control,capacity,core_native,cpu,cpu,64,1,rulerunner_bounded_flat_default,0.008371047500077111,0.1268870500025514,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,nested_next_control,capacity,core_native,cpu,cpu,64,1,rulerunner_bounded_flat_exact,0.008657986000495535,0.16866633700192324,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,nested_next_control,capacity,core_native,cpu,cpu,64,1,rulerunner_original_flat,0.007973454499733634,0.05556006999904639,5169152.0,True,[]
